"ODS Code","Measure","Percentage","Over Target","Total","Year"
"RT3","62 Day Wait for first treatment By Cancer","0.611","37.0","95.0","2016"
"RKE","62 Day Wait for first treatment By Cancer","0.871","36.5","282.0","2016"
"RCF","62 Day Wait for first treatment By Cancer","0.923","36.5","471.0","2016"
"RMP","62 Day Wait for first treatment By Cancer","0.937","34.0","541.0","2016"
"RAX","62 Day Wait for first treatment By Cancer","0.947","32.0","605.0","2016"
"REP","62 Day Wait for first treatment By Cancer","0.832","25.5","152.0","2016"
"RE9","62 Day Wait for first treatment By Cancer","0.864","25.0","184.5","2016"
"RBQ","62 Day Wait for first treatment By Cancer","0.848","24.0","157.5","2016"
"RAN","62 Day Wait for first treatment By Cancer","0.612","23.5","60.5","2016"
"RGM","62 Day Wait for first treatment By Cancer","0.730","13.5","50.0","2016"
"NWV","62 Day Wait for first treatment By Cancer","0.769","12.0","52.0","2016"
"RRJ","62 Day Wait for first treatment By Cancer","0.804","5.5","28.0","2016"
"RLU","62 Day Wait for first treatment By Cancer","0.831","5.0","29.5","2016"
"AQK","62 Day Wait for first treatment By Cancer","0.960","4.0","101.0","2016"
"NQT","62 Day Wait for first treatment By Cancer","0.918","2.0","24.5","2016"
"RL1","62 Day Wait for first treatment By Cancer","0.893","1.5","14.0","2016"
"RAT","62 Day Wait for first treatment By Cancer","0.500","1.0","2.0","2016"
"R1C","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2016"
"RWV","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2016"
"RV3","62 Day Wait for first treatment By Cancer","0.750","0.5","2.0","2016"
"RP6","62 Day Wait for first treatment By Cancer","0.909","0.5","5.5","2016"
"RFW","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2016"
"NYT","62 Day Wait for first treatment By Cancer","0.977","0.5","21.5","2016"
"RGD","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2016"
"RDR","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2016"
"NDA","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2016"
"RP4","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2016"
"RY2","62 Day Wait for first treatment By Cancer","1.000","0.0","47.5","2016"
"RQ3","62 Day Wait for first treatment By Cancer","1.000","0.0","5.5","2016"
"RCU","62 Day Wait for first treatment By Cancer","1.000","0","2","2016"
"RBS","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2016"
"RLY","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2016"
"NVM","62 Day Wait for first treatment By Cancer","1.000","0.0","60.5","2016"
"RET","62 Day Wait for first treatment By Cancer","1.000","0","2","2016"
"RV9","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2016"
"RWD","62 Day Wait for first treatment By Cancer","0.703","536.5","1804.0","2017"
"RVV","62 Day Wait for first treatment By Cancer","0.723","526.0","1897.0","2017"
"RWE","62 Day Wait for first treatment By Cancer","0.794","518.0","2514.0","2017"
"RR8","62 Day Wait for first treatment By Cancer","0.769","509.5","2202.0","2017"
"RJE","62 Day Wait for first treatment By Cancer","0.766","501.5","2139.5","2017"
"RWP","62 Day Wait for first treatment By Cancer","0.715","500.0","1751.5","2017"
"RTE","62 Day Wait for first treatment By Cancer","0.731","485.0","1800.5","2017"
"RJ1","62 Day Wait for first treatment By Cancer","0.673","473.5","1450.0","2017"
"RHQ","62 Day Wait for first treatment By Cancer","0.784","447.5","2075.0","2017"
"RWA","62 Day Wait for first treatment By Cancer","0.759","437.5","1818.5","2017"
"RK9","62 Day Wait for first treatment By Cancer","0.789","414.5","1964.0","2017"
"RX1","62 Day Wait for first treatment By Cancer","0.788","398.0","1879.5","2017"
"RTH","62 Day Wait for first treatment By Cancer","0.821","394.5","2204.5","2017"
"RM1","62 Day Wait for first treatment By Cancer","0.803","393.0","1990.0","2017"
"RWH","62 Day Wait for first treatment By Cancer","0.715","389.0","1366.0","2017"
"RH8","62 Day Wait for first treatment By Cancer","0.812","374.0","1991.0","2017"
"RWF","62 Day Wait for first treatment By Cancer","0.711","354.5","1226.0","2017"
"RTG","62 Day Wait for first treatment By Cancer","0.769","354.0","1531.5","2017"
"RDE","62 Day Wait for first treatment By Cancer","0.723","354.0","1279.0","2017"
"RXH","62 Day Wait for first treatment By Cancer","0.770","351.0","1529.0","2017"
"RXC","62 Day Wait for first treatment By Cancer","0.765","342.0","1457.5","2017"
"RRK","62 Day Wait for first treatment By Cancer","0.703","339.0","1142.0","2017"
"RQ8","62 Day Wait for first treatment By Cancer","0.750","331.0","1325.0","2017"
"RRV","62 Day Wait for first treatment By Cancer","0.680","317.0","990.0","2017"
"RDD","62 Day Wait for first treatment By Cancer","0.692","302.5","983.0","2017"
"RBV","62 Day Wait for first treatment By Cancer","0.678","297.5","924.5","2017"
"RTD","62 Day Wait for first treatment By Cancer","0.857","292.5","2051.0","2017"
"RHM","62 Day Wait for first treatment By Cancer","0.837","289.0","1775.0","2017"
"RCB","62 Day Wait for first treatment By Cancer","0.814","288.0","1547.0","2017"
"RGT","62 Day Wait for first treatment By Cancer","0.817","281.5","1541.0","2017"
"RAL","62 Day Wait for first treatment By Cancer","0.825","280.5","1603.5","2017"
"RTR","62 Day Wait for first treatment By Cancer","0.838","278.5","1721.5","2017"
"RXN","62 Day Wait for first treatment By Cancer","0.811","274.5","1455.0","2017"
"RHU","62 Day Wait for first treatment By Cancer","0.834","270.0","1625.0","2017"
"RL4","62 Day Wait for first treatment By Cancer","0.771","258.0","1125.5","2017"
"RR1","62 Day Wait for first treatment By Cancer","0.870","242.5","1864.5","2017"
"RJL","62 Day Wait for first treatment By Cancer","0.745","242.0","950.0","2017"
"RF4","62 Day Wait for first treatment By Cancer","0.837","242.0","1485.5","2017"
"RW6","62 Day Wait for first treatment By Cancer","0.814","241.0","1294.0","2017"
"RA7","62 Day Wait for first treatment By Cancer","0.816","230.5","1249.5","2017"
"REN","62 Day Wait for first treatment By Cancer","0.613","229.0","591.5","2017"
"RXW","62 Day Wait for first treatment By Cancer","0.850","228.0","1522.0","2017"
"RJZ","62 Day Wait for first treatment By Cancer","0.832","223.5","1334.0","2017"
"RGQ","62 Day Wait for first treatment By Cancer","0.834","218.0","1314.5","2017"
"RAJ","62 Day Wait for first treatment By Cancer","0.739","217.5","832.5","2017"
"R1H","62 Day Wait for first treatment By Cancer","0.838","217.0","1339.5","2017"
"RVJ","62 Day Wait for first treatment By Cancer","0.870","216.5","1670.0","2017"
"RJ2","62 Day Wait for first treatment By Cancer","0.771","212.0","927.0","2017"
"RKB","62 Day Wait for first treatment By Cancer","0.838","209.0","1290.5","2017"
"RGN","62 Day Wait for first treatment By Cancer","0.855","208.5","1434.0","2017"
"REF","62 Day Wait for first treatment By Cancer","0.868","208.5","1582.5","2017"
"RNS","62 Day Wait for first treatment By Cancer","0.791","207.5","991.5","2017"
"RYR","62 Day Wait for first treatment By Cancer","0.887","205.0","1818.5","2017"
"RPY","62 Day Wait for first treatment By Cancer","0.752","191.0","771.5","2017"
"RXF","62 Day Wait for first treatment By Cancer","0.854","190.5","1302.0","2017"
"RBA","62 Day Wait for first treatment By Cancer","0.778","188.0","845.0","2017"
"RAE","62 Day Wait for first treatment By Cancer","0.790","186.0","884.5","2017"
"R1K","62 Day Wait for first treatment By Cancer","0.802","185.0","933.5","2017"
"RPA","62 Day Wait for first treatment By Cancer","0.790","181.5","864.0","2017"
"RN5","62 Day Wait for first treatment By Cancer","0.852","181.0","1225.5","2017"
"RHW","62 Day Wait for first treatment By Cancer","0.855","180.5","1248.5","2017"
"RA2","62 Day Wait for first treatment By Cancer","0.775","176.0","782.5","2017"
"RFS","62 Day Wait for first treatment By Cancer","0.780","171.5","779.5","2017"
"RXP","62 Day Wait for first treatment By Cancer","0.873","170.0","1342.0","2017"
"RXL","62 Day Wait for first treatment By Cancer","0.823","168.5","954.0","2017"
"RA9","62 Day Wait for first treatment By Cancer","0.831","166.0","984.5","2017"
"RYJ","62 Day Wait for first treatment By Cancer","0.843","165.0","1049.0","2017"
"RDZ","62 Day Wait for first treatment By Cancer","0.877","162.5","1324.0","2017"
"RXR","62 Day Wait for first treatment By Cancer","0.871","159.5","1239.0","2017"
"RNA","62 Day Wait for first treatment By Cancer","0.844","156.0","997.0","2017"
"RLN","62 Day Wait for first treatment By Cancer","0.829","154.5","901.5","2017"
"RTF","62 Day Wait for first treatment By Cancer","0.822","151.5","852.5","2017"
"RTX","62 Day Wait for first treatment By Cancer","0.852","147.5","999.5","2017"
"RK5","62 Day Wait for first treatment By Cancer","0.837","147.0","903.5","2017"
"RNL","62 Day Wait for first treatment By Cancer","0.840","146.0","911.0","2017"
"RD1","62 Day Wait for first treatment By Cancer","0.867","143.5","1079.0","2017"
"RXQ","62 Day Wait for first treatment By Cancer","0.849","142.0","939.5","2017"
"RTP","62 Day Wait for first treatment By Cancer","0.871","136.5","1055.0","2017"
"RN3","62 Day Wait for first treatment By Cancer","0.819","136.5","754.0","2017"
"RBL","62 Day Wait for first treatment By Cancer","0.863","135.5","992.0","2017"
"RP5","62 Day Wait for first treatment By Cancer","0.857","128.0","893.5","2017"
"RJF","62 Day Wait for first treatment By Cancer","0.794","125.0","607.5","2017"
"RBD","62 Day Wait for first treatment By Cancer","0.820","123.0","682.5","2017"
"RXK","62 Day Wait for first treatment By Cancer","0.863","121.0","883.5","2017"
"RJ7","62 Day Wait for first treatment By Cancer","0.837","120.0","736.5","2017"
"RCX","62 Day Wait for first treatment By Cancer","0.836","119.5","727.0","2017"
"REM","62 Day Wait for first treatment By Cancer","0.831","119.5","706.5","2017"
"RWG","62 Day Wait for first treatment By Cancer","0.866","118.5","882.0","2017"
"RWY","62 Day Wait for first treatment By Cancer","0.885","117.0","1014.0","2017"
"RJR","62 Day Wait for first treatment By Cancer","0.840","116.5","729.0","2017"
"RDU","62 Day Wait for first treatment By Cancer","0.917","115.0","1385.5","2017"
"RBN","62 Day Wait for first treatment By Cancer","0.880","109.0","905.0","2017"
"RGR","62 Day Wait for first treatment By Cancer","0.866","105.5","790.0","2017"
"RVW","62 Day Wait for first treatment By Cancer","0.864","104.5","768.0","2017"
"RTK","62 Day Wait for first treatment By Cancer","0.869","103.0","786.5","2017"
"RD3","62 Day Wait for first treatment By Cancer","0.875","101.5","809.0","2017"
"RNZ","62 Day Wait for first treatment By Cancer","0.848","97.5","642.5","2017"
"RA3","62 Day Wait for first treatment By Cancer","0.716","96.0","338.5","2017"
"RNQ","62 Day Wait for first treatment By Cancer","0.856","95.5","664.5","2017"
"RVR","62 Day Wait for first treatment By Cancer","0.860","95.5","683.5","2017"
"RW3","62 Day Wait for first treatment By Cancer","0.781","94.5","431.5","2017"
"RLQ","62 Day Wait for first treatment By Cancer","0.839","92.5","575.5","2017"
"RR7","62 Day Wait for first treatment By Cancer","0.878","92.0","756.0","2017"
"R1F","62 Day Wait for first treatment By Cancer","0.822","91.0","510.5","2017"
"RBZ","62 Day Wait for first treatment By Cancer","0.815","90.5","488.0","2017"
"RC1","62 Day Wait for first treatment By Cancer","0.869","90.0","688.0","2017"
"RM2","62 Day Wait for first treatment By Cancer","0.870","89.5","688.0","2017"
"RJC","62 Day Wait for first treatment By Cancer","0.852","88.0","593.0","2017"
"RWW","62 Day Wait for first treatment By Cancer","0.803","86.0","436.0","2017"
"RQ6","62 Day Wait for first treatment By Cancer","0.861","84.0","606.0","2017"
"RM3","62 Day Wait for first treatment By Cancer","0.895","83.5","796.0","2017"
"RA4","62 Day Wait for first treatment By Cancer","0.852","83.0","562.5","2017"
"NV3","62 Day Wait for first treatment By Cancer","0.860","82.0","586.5","2017"
"RFR","62 Day Wait for first treatment By Cancer","0.866","81.0","603.0","2017"
"RVY","62 Day Wait for first treatment By Cancer","0.828","80.0","465.5","2017"
"RGP","62 Day Wait for first treatment By Cancer","0.881","77.0","645.0","2017"
"RN7","62 Day Wait for first treatment By Cancer","0.856","76.0","528.5","2017"
"RCD","62 Day Wait for first treatment By Cancer","0.888","74.5","666.5","2017"
"RC9","62 Day Wait for first treatment By Cancer","0.894","74.0","700.0","2017"
"RQM","62 Day Wait for first treatment By Cancer","0.878","73.0","599.0","2017"
"RJ6","62 Day Wait for first treatment By Cancer","0.895","71.5","683.0","2017"
"RD8","62 Day Wait for first treatment By Cancer","0.892","69.5","641.0","2017"
"RPC","62 Day Wait for first treatment By Cancer","0.764","65.5","277.0","2017"
"RAS","62 Day Wait for first treatment By Cancer","0.872","65.0","507.0","2017"
"RAP","62 Day Wait for first treatment By Cancer","0.833","64.0","382.5","2017"
"RWJ","62 Day Wait for first treatment By Cancer","0.896","61.5","590.5","2017"
"RQW","62 Day Wait for first treatment By Cancer","0.902","61.0","621.0","2017"
"RBK","62 Day Wait for first treatment By Cancer","0.883","57.5","493.5","2017"
"RCF","62 Day Wait for first treatment By Cancer","0.891","53.0","486.5","2017"
"R0A","62 Day Wait for first treatment By Cancer","0.853","53.0","360.5","2017"
"RLT","62 Day Wait for first treatment By Cancer","0.830","51.0","300.5","2017"
"RMC","62 Day Wait for first treatment By Cancer","0.926","46.0","618.5","2017"
"RQX","62 Day Wait for first treatment By Cancer","0.838","45.5","281.0","2017"
"RAX","62 Day Wait for first treatment By Cancer","0.931","45.0","651.0","2017"
"RFF","62 Day Wait for first treatment By Cancer","0.914","41.5","483.0","2017"
"RJN","62 Day Wait for first treatment By Cancer","0.886","41.5","365.0","2017"
"RMP","62 Day Wait for first treatment By Cancer","0.926","37.0","501.5","2017"
"RRF","62 Day Wait for first treatment By Cancer","0.948","34.0","655.0","2017"
"RKE","62 Day Wait for first treatment By Cancer","0.885","34.0","295.0","2017"
"RBT","62 Day Wait for first treatment By Cancer","0.952","33.0","682.0","2017"
"RT3","62 Day Wait for first treatment By Cancer","0.627","26.5","71.0","2017"
"RAN","62 Day Wait for first treatment By Cancer","0.740","19.0","73.0","2017"
"REP","62 Day Wait for first treatment By Cancer","0.852","18.0","121.5","2017"
"RE9","62 Day Wait for first treatment By Cancer","0.900","17.5","175.0","2017"
"NWV","62 Day Wait for first treatment By Cancer","0.609","17.0","43.5","2017"
"RQQ","62 Day Wait for first treatment By Cancer","0.848","16.5","108.5","2017"
"RBQ","62 Day Wait for first treatment By Cancer","0.896","16.0","154.5","2017"
"RRJ","62 Day Wait for first treatment By Cancer","0.743","9.5","37.0","2017"
"RGM","62 Day Wait for first treatment By Cancer","0.871","5.5","42.5","2017"
"RQ3","62 Day Wait for first treatment By Cancer","0.761","5.5","23.0","2017"
"RL1","62 Day Wait for first treatment By Cancer","0.750","3.5","14.0","2017"
"NYT","62 Day Wait for first treatment By Cancer","0.935","3.0","46.5","2017"
"NYG","62 Day Wait for first treatment By Cancer","0.978","3.0","139.0","2017"
"NHT","62 Day Wait for first treatment By Cancer","0.875","2.5","20.0","2017"
"RLU","62 Day Wait for first treatment By Cancer","0.818","2.0","11.0","2017"
"NQT","62 Day Wait for first treatment By Cancer","0.977","2.0","87.0","2017"
"AQK","62 Day Wait for first treatment By Cancer","0.984","2.0","121.5","2017"
"RY2","62 Day Wait for first treatment By Cancer","0.988","1.0","86.5","2017"
"NVM","62 Day Wait for first treatment By Cancer","0.979","1.0","48.0","2017"
"RDR","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2017"
"RX4","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2017"
"RBS","62 Day Wait for first treatment By Cancer","0.857","0.5","3.5","2017"
"RAT","62 Day Wait for first treatment By Cancer","0.667","0.5","1.5","2017"
"RRE","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2017"
"RV9","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2017"
"RET","62 Day Wait for first treatment By Cancer","1.000","0.0","7.5","2017"
"RY7","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2017"
"RP6","62 Day Wait for first treatment By Cancer","1.000","0","3","2017"
"RP4","62 Day Wait for first treatment By Cancer","1.000","0.0","6.5","2017"
"RCU","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2017"
"RVV","62 Day Wait for first treatment By Cancer","0.696","1280.0","4209.0","2018"
"RWE","62 Day Wait for first treatment By Cancer","0.757","1202.0","4952.0","2018"
"RR8","62 Day Wait for first treatment By Cancer","0.727","1200.5","4394.5","2018"
"RWA","62 Day Wait for first treatment By Cancer","0.702","1042.0","3500.0","2018"
"RWF","62 Day Wait for first treatment By Cancer","0.610","979.5","2512.5","2018"
"RM1","62 Day Wait for first treatment By Cancer","0.736","975.5","3690.5","2018"
"RHQ","62 Day Wait for first treatment By Cancer","0.753","969.0","3924.5","2018"
"RTH","62 Day Wait for first treatment By Cancer","0.746","961.0","3784.0","2018"
"RTE","62 Day Wait for first treatment By Cancer","0.746","959.5","3772.5","2018"
"RK9","62 Day Wait for first treatment By Cancer","0.753","929.5","3770.0","2018"
"RH8","62 Day Wait for first treatment By Cancer","0.757","916.5","3770.5","2018"
"RWP","62 Day Wait for first treatment By Cancer","0.744","906.5","3545.0","2018"
"RRK","62 Day Wait for first treatment By Cancer","0.804","885.5","4508.5","2018"
"RWD","62 Day Wait for first treatment By Cancer","0.756","862.0","3540.0","2018"
"RHM","62 Day Wait for first treatment By Cancer","0.750","850.0","3400.5","2018"
"RDE","62 Day Wait for first treatment By Cancer","0.756","795.5","3263.0","2018"
"RJ1","62 Day Wait for first treatment By Cancer","0.721","791.5","2841.5","2018"
"RTD","62 Day Wait for first treatment By Cancer","0.803","783.5","3968.0","2018"
"RL4","62 Day Wait for first treatment By Cancer","0.648","782.5","2224.5","2018"
"RWH","62 Day Wait for first treatment By Cancer","0.704","764.5","2582.5","2018"
"RXC","62 Day Wait for first treatment By Cancer","0.716","706.5","2484.0","2018"
"RBV","62 Day Wait for first treatment By Cancer","0.593","703.0","1727.0","2018"
"RQ8","62 Day Wait for first treatment By Cancer","0.707","697.0","2382.0","2018"
"RTG","62 Day Wait for first treatment By Cancer","0.803","690.0","3500.0","2018"
"RXH","62 Day Wait for first treatment By Cancer","0.732","689.0","2574.0","2018"
"RX1","62 Day Wait for first treatment By Cancer","0.811","677.5","3580.0","2018"
"RW6","62 Day Wait for first treatment By Cancer","0.748","645.5","2562.0","2018"
"RJE","62 Day Wait for first treatment By Cancer","0.829","642.5","3760.5","2018"
"RRV","62 Day Wait for first treatment By Cancer","0.680","626.5","1959.0","2018"
"RAJ","62 Day Wait for first treatment By Cancer","0.676","624.5","1925.0","2018"
"RAE","62 Day Wait for first treatment By Cancer","0.669","609.5","1842.5","2018"
"RCB","62 Day Wait for first treatment By Cancer","0.795","591.5","2882.5","2018"
"RGT","62 Day Wait for first treatment By Cancer","0.800","591.0","2957.5","2018"
"RYR","62 Day Wait for first treatment By Cancer","0.814","584.5","3150.5","2018"
"RAL","62 Day Wait for first treatment By Cancer","0.806","554.0","2855.0","2018"
"R0A","62 Day Wait for first treatment By Cancer","0.809","551.5","2885.5","2018"
"RGN","62 Day Wait for first treatment By Cancer","0.805","543.5","2780.5","2018"
"RJZ","62 Day Wait for first treatment By Cancer","0.800","521.0","2611.5","2018"
"REF","62 Day Wait for first treatment By Cancer","0.840","508.5","3171.5","2018"
"RDD","62 Day Wait for first treatment By Cancer","0.755","508.5","2072.0","2018"
"RXW","62 Day Wait for first treatment By Cancer","0.833","504.5","3022.0","2018"
"RTR","62 Day Wait for first treatment By Cancer","0.847","500.5","3278.5","2018"
"RN5","62 Day Wait for first treatment By Cancer","0.801","477.5","2402.5","2018"
"RA2","62 Day Wait for first treatment By Cancer","0.727","477.0","1746.5","2018"
"RXF","62 Day Wait for first treatment By Cancer","0.813","470.0","2507.0","2018"
"RVJ","62 Day Wait for first treatment By Cancer","0.825","467.0","2674.0","2018"
"RJL","62 Day Wait for first treatment By Cancer","0.739","464.0","1778.5","2018"
"REN","62 Day Wait for first treatment By Cancer","0.582","453.0","1085.0","2018"
"RXN","62 Day Wait for first treatment By Cancer","0.826","452.0","2596.0","2018"
"RHU","62 Day Wait for first treatment By Cancer","0.851","446.0","2985.0","2018"
"RBA","62 Day Wait for first treatment By Cancer","0.766","443.0","1893.0","2018"
"RHW","62 Day Wait for first treatment By Cancer","0.834","429.5","2586.5","2018"
"RTF","62 Day Wait for first treatment By Cancer","0.789","411.0","1952.0","2018"
"RA9","62 Day Wait for first treatment By Cancer","0.807","400.5","2077.5","2018"
"RXR","62 Day Wait for first treatment By Cancer","0.829","396.0","2318.0","2018"
"RKB","62 Day Wait for first treatment By Cancer","0.838","395.5","2437.0","2018"
"RTX","62 Day Wait for first treatment By Cancer","0.798","381.0","1886.0","2018"
"RNS","62 Day Wait for first treatment By Cancer","0.812","378.5","2009.5","2018"
"RDZ","62 Day Wait for first treatment By Cancer","0.853","372.0","2538.0","2018"
"RJ2","62 Day Wait for first treatment By Cancer","0.791","361.5","1728.5","2018"
"RNA","62 Day Wait for first treatment By Cancer","0.826","355.0","2034.5","2018"
"RF4","62 Day Wait for first treatment By Cancer","0.871","352.5","2732.0","2018"
"RYJ","62 Day Wait for first treatment By Cancer","0.830","346.5","2042.5","2018"
"RPY","62 Day Wait for first treatment By Cancer","0.770","340.5","1483.0","2018"
"RA7","62 Day Wait for first treatment By Cancer","0.857","332.5","2320.0","2018"
"RXQ","62 Day Wait for first treatment By Cancer","0.815","330.5","1790.0","2018"
"RXL","62 Day Wait for first treatment By Cancer","0.832","330.5","1964.0","2018"
"R1H","62 Day Wait for first treatment By Cancer","0.868","327.0","2481.5","2018"
"RD1","62 Day Wait for first treatment By Cancer","0.856","322.5","2246.5","2018"
"RBD","62 Day Wait for first treatment By Cancer","0.772","322.0","1414.0","2018"
"RTP","62 Day Wait for first treatment By Cancer","0.838","316.0","1954.0","2018"
"RXP","62 Day Wait for first treatment By Cancer","0.877","308.0","2498.0","2018"
"R1K","62 Day Wait for first treatment By Cancer","0.844","305.5","1956.0","2018"
"RK5","62 Day Wait for first treatment By Cancer","0.814","304.0","1637.5","2018"
"RNL","62 Day Wait for first treatment By Cancer","0.845","296.0","1913.5","2018"
"RC1","62 Day Wait for first treatment By Cancer","0.792","290.5","1397.0","2018"
"RLN","62 Day Wait for first treatment By Cancer","0.834","286.5","1731.0","2018"
"RQ6","62 Day Wait for first treatment By Cancer","0.776","277.0","1236.0","2018"
"REM","62 Day Wait for first treatment By Cancer","0.788","274.0","1290.5","2018"
"RGR","62 Day Wait for first treatment By Cancer","0.840","264.5","1651.5","2018"
"RWG","62 Day Wait for first treatment By Cancer","0.843","263.0","1677.0","2018"
"RP5","62 Day Wait for first treatment By Cancer","0.858","262.0","1842.0","2018"
"RJC","62 Day Wait for first treatment By Cancer","0.805","260.5","1333.5","2018"
"RD3","62 Day Wait for first treatment By Cancer","0.830","259.0","1523.5","2018"
"RPA","62 Day Wait for first treatment By Cancer","0.854","254.5","1743.5","2018"
"RCX","62 Day Wait for first treatment By Cancer","0.819","244.5","1352.0","2018"
"RBL","62 Day Wait for first treatment By Cancer","0.874","241.5","1915.0","2018"
"RTK","62 Day Wait for first treatment By Cancer","0.860","240.0","1712.0","2018"
"RBZ","62 Day Wait for first treatment By Cancer","0.783","235.5","1084.5","2018"
"R1F","62 Day Wait for first treatment By Cancer","0.752","233.5","942.5","2018"
"RWY","62 Day Wait for first treatment By Cancer","0.886","232.0","2027.5","2018"
"RFS","62 Day Wait for first treatment By Cancer","0.850","230.5","1535.0","2018"
"RN3","62 Day Wait for first treatment By Cancer","0.861","229.0","1653.0","2018"
"RR7","62 Day Wait for first treatment By Cancer","0.841","226.5","1423.0","2018"
"RWJ","62 Day Wait for first treatment By Cancer","0.804","226.0","1152.0","2018"
"RGP","62 Day Wait for first treatment By Cancer","0.819","224.0","1239.0","2018"
"RA4","62 Day Wait for first treatment By Cancer","0.807","223.0","1158.0","2018"
"RNZ","62 Day Wait for first treatment By Cancer","0.840","221.0","1385.0","2018"
"RVW","62 Day Wait for first treatment By Cancer","0.845","221.0","1427.0","2018"
"RGQ","62 Day Wait for first treatment By Cancer","0.780","220.5","1000.5","2018"
"RLQ","62 Day Wait for first treatment By Cancer","0.817","220.0","1202.0","2018"
"RQW","62 Day Wait for first treatment By Cancer","0.819","209.0","1152.0","2018"
"RFR","62 Day Wait for first treatment By Cancer","0.834","206.0","1242.0","2018"
"RDU","62 Day Wait for first treatment By Cancer","0.929","204.0","2871.0","2018"
"RBN","62 Day Wait for first treatment By Cancer","0.888","202.5","1805.5","2018"
"RXK","62 Day Wait for first treatment By Cancer","0.869","196.5","1497.0","2018"
"RD8","62 Day Wait for first treatment By Cancer","0.859","188.0","1329.5","2018"
"RJR","62 Day Wait for first treatment By Cancer","0.860","186.0","1324.5","2018"
"RVR","62 Day Wait for first treatment By Cancer","0.874","181.0","1439.0","2018"
"RA3","62 Day Wait for first treatment By Cancer","0.717","180.0","636.5","2018"
"RVY","62 Day Wait for first treatment By Cancer","0.787","179.0","840.0","2018"
"RNQ","62 Day Wait for first treatment By Cancer","0.866","176.5","1321.0","2018"
"RC9","62 Day Wait for first treatment By Cancer","0.874","175.5","1394.5","2018"
"RJ7","62 Day Wait for first treatment By Cancer","0.873","170.5","1346.5","2018"
"RM3","62 Day Wait for first treatment By Cancer","0.887","164.0","1450.5","2018"
"RCD","62 Day Wait for first treatment By Cancer","0.866","158.5","1186.0","2018"
"RAP","62 Day Wait for first treatment By Cancer","0.779","154.0","696.5","2018"
"RAS","62 Day Wait for first treatment By Cancer","0.850","145.5","968.0","2018"
"RJ6","62 Day Wait for first treatment By Cancer","0.885","132.5","1153.0","2018"
"RQM","62 Day Wait for first treatment By Cancer","0.894","130.5","1233.5","2018"
"RRF","62 Day Wait for first treatment By Cancer","0.901","130.5","1313.5","2018"
"RLT","62 Day Wait for first treatment By Cancer","0.801","125.5","631.0","2018"
"REP","62 Day Wait for first treatment By Cancer","0.479","123.0","236.0","2018"
"RCF","62 Day Wait for first treatment By Cancer","0.867","120.5","904.0","2018"
"RBK","62 Day Wait for first treatment By Cancer","0.863","120.0","873.0","2018"
"RJN","62 Day Wait for first treatment By Cancer","0.832","119.5","710.0","2018"
"RFF","62 Day Wait for first treatment By Cancer","0.886","116.0","1018.0","2018"
"RWW","62 Day Wait for first treatment By Cancer","0.869","114.5","876.0","2018"
"RN7","62 Day Wait for first treatment By Cancer","0.890","97.5","890.0","2018"
"RBT","62 Day Wait for first treatment By Cancer","0.930","96.5","1373.0","2018"
"NV3","62 Day Wait for first treatment By Cancer","0.899","96.5","953.5","2018"
"RMC","62 Day Wait for first treatment By Cancer","0.924","93.5","1237.0","2018"
"RQX","62 Day Wait for first treatment By Cancer","0.860","87.0","623.0","2018"
"RMP","62 Day Wait for first treatment By Cancer","0.903","87.0","899.0","2018"
"RPC","62 Day Wait for first treatment By Cancer","0.828","85.0","494.5","2018"
"RKE","62 Day Wait for first treatment By Cancer","0.859","74.5","529.0","2018"
"RJF","62 Day Wait for first treatment By Cancer","0.861","54.5","393.0","2018"
"RAX","62 Day Wait for first treatment By Cancer","0.958","54.0","1296.0","2018"
"RR1","62 Day Wait for first treatment By Cancer","0.861","52.0","375.0","2018"
"RT3","62 Day Wait for first treatment By Cancer","0.559","44.5","101.0","2018"
"RE9","62 Day Wait for first treatment By Cancer","0.868","41.0","310.0","2018"
"RAN","62 Day Wait for first treatment By Cancer","0.759","38.0","157.5","2018"
"NHT","62 Day Wait for first treatment By Cancer","0.888","33.5","300.0","2018"
"RBQ","62 Day Wait for first treatment By Cancer","0.896","27.0","260.5","2018"
"RRJ","62 Day Wait for first treatment By Cancer","0.746","22.0","86.5","2018"
"NWV","62 Day Wait for first treatment By Cancer","0.394","21.5","35.5","2018"
"RQ3","62 Day Wait for first treatment By Cancer","0.836","13.5","82.5","2018"
"RGM","62 Day Wait for first treatment By Cancer","0.854","12.0","82.0","2018"
